increase_domain,decrease_domain,shift_share,delta_macro_loss_linearized,feasible_at_recommended_centroid
wikipedia_en,freelaw,0.01,-0.0004704011376235901,True
wikipedia_en,hackernews,0.01,-0.0009857557054581234,True
wikipedia_en,europarl,0.01,-0.0015236720828441237,True
wikipedia_en,philpapers,0.01,,False
wikipedia_en,enron_emails,0.01,,False
gutenberg_pg_19,ubuntu_irc,0.01,0.006322840023714404,True
gutenberg_pg_19,dm_mathematics,0.01,0.006022003375874775,True
gutenberg_pg_19,stackexchange,0.01,0.0012922543305649659,True
gutenberg_pg_19,pubmed_abstracts,0.01,0.000517680609130506,True
gutenberg_pg_19,wikipedia_en,0.01,0.00014099279511742066,True
gutenberg_pg_19,gutenberg_pg_19,0.01,,False
gutenberg_pg_19,arxiv,0.01,5.512569446020632e-06,True
gutenberg_pg_19,pubmed_central,0.01,-5.67236358727493e-05,True
gutenberg_pg_19,github,0.01,-5.767291204966194e-05,True
gutenberg_pg_19,pile_cc,0.01,-6.28519418301645e-05,True
gutenberg_pg_19,nih_exporter,0.01,-0.0001621368289762726,True
gutenberg_pg_19,uspto_backgrounds,0.01,-0.00014352924958629284,True
gutenberg_pg_19,freelaw,0.01,-0.0003294083425061695,True
gutenberg_pg_19,hackernews,0.01,-0.0008447629103407025,True
gutenberg_pg_19,europarl,0.01,-0.0013826792877267029,True
gutenberg_pg_19,philpapers,0.01,,False
gutenberg_pg_19,enron_emails,0.01,,False
arxiv,ubuntu_irc,0.01,0.0063173274542683835,True
arxiv,dm_mathematics,0.01,0.006016490806428754,True
arxiv,stackexchange,0.01,0.0012867417611189453,True
arxiv,pubmed_abstracts,0.01,0.0005121680396844853,True
arxiv,wikipedia_en,0.01,0.00013548022567140002,True
arxiv,gutenberg_pg_19,0.01,-5.512569446020632e-06,True
arxiv,arxiv,0.01,,False
arxiv,pubmed_central,0.01,-6.223620531876993e-05,True
arxiv,github,0.01,-6.318548149568257e-05,True
arxiv,pile_cc,0.01,-6.836451127618514e-05,True
arxiv,nih_exporter,0.01,-0.0001676493984222932,True
arxiv,uspto_backgrounds,0.01,-0.00014904181903231347,True
arxiv,freelaw,0.01,-0.0003349209119521901,True
arxiv,hackernews,0.01,-0.0008502754797867232,True
arxiv,europarl,0.01,-0.0013881918571727234,True
arxiv,philpapers,0.01,,False
arxiv,enron_emails,0.01,,False
pubmed_central,ubuntu_irc,0.01,0.0063795636595871535,True
pubmed_central,dm_mathematics,0.01,0.006078727011747524,True
pubmed_central,stackexchange,0.01,0.0013489779664377153,True
pubmed_central,pubmed_abstracts,0.01,0.0005744042450032552,True
pubmed_central,wikipedia_en,0.01,0.00019771643099016995,True
pubmed_central,gutenberg_pg_19,0.01,5.67236358727493e-05,True
pubmed_central,arxiv,0.01,6.223620531876993e-05,True
pubmed_central,pubmed_central,0.01,,False
pubmed_central,github,0.01,-9.492761769126432e-07,True
pubmed_central,pile_cc,0.01,-6.1283059574152034e-06,True
pubmed_central,nih_exporter,0.01,-0.00010541319310352327,True
pubmed_central,uspto_backgrounds,0.01,-8.680561371354353e-05,True
pubmed_central,freelaw,0.01,-0.00027268470663342016,True
pubmed_central,hackernews,0.01,-0.0007880392744679534,True
pubmed_central,europarl,0.01,-0.0013259556518539534,True
pubmed_central,philpapers,0.01,,False
pubmed_central,enron_emails,0.01,,False
github,ubuntu_irc,0.01,0.006380512935764066,True
github,dm_mathematics,0.01,0.006079676287924436,True
github,stackexchange,0.01,0.0013499272426146277,True
github,pubmed_abstracts,0.01,0.0005753535211801679,True
github,wikipedia_en,0.01,0.0001986657071670826,True
github,gutenberg_pg_19,0.01,5.767291204966194e-05,True
github,arxiv,0.01,6.318548149568257e-05,True
github,pubmed_central,0.01,9.492761769126432e-07,True
github,github,0.01,,False
github,pile_cc,0.01,-5.17902978050256e-06,True
github,nih_exporter,0.01,-0.00010446391692661064,True
github,uspto_backgrounds,0.01,-8.585633753663089e-05,True
github,freelaw,0.01,-0.0002717354304565075,True
github,hackernews,0.01,-0.0007870899982910407,True
github,europarl,0.01,-0.0013250063756770408,True
github,philpapers,0.01,,False
github,enron_emails,0.01,,False
pile_cc,ubuntu_irc,0.01,0.0063856919655445685,True
pile_cc,dm_mathematics,0.01,0.006084855317704939,True
pile_cc,stackexchange,0.01,0.0013551062723951306,True
pile_cc,pubmed_abstracts,0.01,0.0005805325509606705,True
pile_cc,wikipedia_en,0.01,0.00020384473694758516,True
pile_cc,gutenberg_pg_19,0.01,6.28519418301645e-05,True
pile_cc,arxiv,0.01,6.836451127618514e-05,True
pile_cc,pubmed_central,0.01,6.1283059574152034e-06,True
pile_cc,github,0.01,5.17902978050256e-06,True
pile_cc,pile_cc,0.01,,False
pile_cc,nih_exporter,0.01,-9.928488714610807e-05,True
pile_cc,uspto_backgrounds,0.01,-8.067730775612833e-05,True
pile_cc,freelaw,0.01,-0.00026655640067600495,True
pile_cc,hackernews,0.01,-0.0007819109685105382,True
pile_cc,europarl,0.01,-0.0013198273458965382,True
pile_cc,philpapers,0.01,,False
pile_cc,enron_emails,0.01,,False
nih_exporter,ubuntu_irc,0.01,0.0064849768526906775,True
nih_exporter,dm_mathematics,0.01,0.006184140204851048,True
nih_exporter,stackexchange,0.01,0.0014543911595412385,True
nih_exporter,pubmed_abstracts,0.01,0.0006798174381067786,True
nih_exporter,wikipedia_en,0.01,0.00030312962409369325,True
nih_exporter,gutenberg_pg_19,0.01,0.0001621368289762726,True
nih_exporter,arxiv,0.01,0.0001676493984222932,True
nih_exporter,pubmed_central,0.01,0.00010541319310352327,True
nih_exporter,github,0.01,0.00010446391692661064,True
nih_exporter,pile_cc,0.01,9.928488714610807e-05,True
nih_exporter,nih_exporter,0.01,,False
nih_exporter,uspto_backgrounds,0.01,1.8607579389979743e-05,True
nih_exporter,freelaw,0.01,-0.0001672715135298969,True
nih_exporter,hackernews,0.01,-0.00068262608136443,True
nih_exporter,europarl,0.01,-0.0012205424587504302,True
nih_exporter,philpapers,0.01,,False
nih_exporter,enron_emails,0.01,,False
uspto_backgrounds,ubuntu_irc,0.01,0.006466369273300698,True
uspto_backgrounds,dm_mathematics,0.01,0.006165532625461068,True
uspto_backgrounds,stackexchange,0.01,0.0014357835801512586,True
uspto_backgrounds,pubmed_abstracts,0.01,0.0006612098587167989,True
uspto_backgrounds,wikipedia_en,0.01,0.0002845220447037135,True
uspto_backgrounds,gutenberg_pg_19,0.01,0.00014352924958629284,True
uspto_backgrounds,arxiv,0.01,0.00014904181903231347,True
uspto_backgrounds,pubmed_central,0.01,8.680561371354353e-05,True
uspto_backgrounds,github,0.01,8.585633753663089e-05,True
uspto_backgrounds,pile_cc,0.01,8.067730775612833e-05,True
uspto_backgrounds,nih_exporter,0.01,-1.8607579389979743e-05,True
uspto_backgrounds,uspto_backgrounds,0.01,,False
uspto_backgrounds,freelaw,0.01,-0.00018587909291987664,True
uspto_backgrounds,hackernews,0.01,-0.0007012336607544098,True
uspto_backgrounds,europarl,0.01,-0.00123915003814041,True
uspto_backgrounds,philpapers,0.01,,False
uspto_backgrounds,enron_emails,0.01,,False
freelaw,ubuntu_irc,0.01,0.006652248366220573,True
freelaw,dm_mathematics,0.01,0.006351411718380944,True
freelaw,stackexchange,0.01,0.0016216626730711353,True
freelaw,pubmed_abstracts,0.01,0.0008470889516366755,True
freelaw,wikipedia_en,0.01,0.0004704011376235901,True
freelaw,gutenberg_pg_19,0.01,0.0003294083425061695,True
freelaw,arxiv,0.01,0.0003349209119521901,True
freelaw,pubmed_central,0.01,0.00027268470663342016,True
freelaw,github,0.01,0.0002717354304565075,True
freelaw,pile_cc,0.01,0.00026655640067600495,True
freelaw,nih_exporter,0.01,0.0001672715135298969,True
freelaw,uspto_backgrounds,0.01,0.00018587909291987664,True
freelaw,freelaw,0.01,,False
freelaw,hackernews,0.01,-0.0005153545678345332,True
freelaw,europarl,0.01,-0.0010532709452205334,True
freelaw,philpapers,0.01,,False
freelaw,enron_emails,0.01,,False
hackernews,ubuntu_irc,0.01,0.007167602934055106,True
hackernews,dm_mathematics,0.01,0.006866766286215478,True
hackernews,stackexchange,0.01,0.002137017240905669,True
hackernews,pubmed_abstracts,0.01,0.0013624435194712087,True
hackernews,wikipedia_en,0.01,0.0009857557054581234,True
hackernews,gutenberg_pg_19,0.01,0.0008447629103407025,True
hackernews,arxiv,0.01,0.0008502754797867232,True
hackernews,pubmed_central,0.01,0.0007880392744679534,True
hackernews,github,0.01,0.0007870899982910407,True
hackernews,pile_cc,0.01,0.0007819109685105382,True
hackernews,nih_exporter,0.01,0.00068262608136443,True
hackernews,uspto_backgrounds,0.01,0.0007012336607544098,True
hackernews,freelaw,0.01,0.0005153545678345332,True
hackernews,hackernews,0.01,,False
hackernews,europarl,0.01,-0.0005379163773860002,True
hackernews,philpapers,0.01,,False
hackernews,enron_emails,0.01,,False
europarl,ubuntu_irc,0.01,0.007705519311441107,True
europarl,dm_mathematics,0.01,0.007404682663601478,True
europarl,stackexchange,0.01,0.0026749336182916687,True
europarl,pubmed_abstracts,0.01,0.0019003598968572088,True
europarl,wikipedia_en,0.01,0.0015236720828441237,True
europarl,gutenberg_pg_19,0.01,0.0013826792877267029,True
europarl,arxiv,0.01,0.0013881918571727234,True
europarl,pubmed_central,0.01,0.0013259556518539534,True
europarl,github,0.01,0.0013250063756770408,True
europarl,pile_cc,0.01,0.0013198273458965382,True
europarl,nih_exporter,0.01,0.0012205424587504302,True
europarl,uspto_backgrounds,0.01,0.00123915003814041,True
europarl,freelaw,0.01,0.0010532709452205334,True
europarl,hackernews,0.01,0.0005379163773860002,True
europarl,europarl,0.01,,False
europarl,philpapers,0.01,,False
europarl,enron_emails,0.01,,False
philpapers,ubuntu_irc,0.01,0.009623444433669706,True
philpapers,dm_mathematics,0.01,0.009322607785830076,True
philpapers,stackexchange,0.01,0.0045928587405202675,True
philpapers,pubmed_abstracts,0.01,0.0038182850190858074,True
philpapers,wikipedia_en,0.01,0.0034415972050727225,True
philpapers,gutenberg_pg_19,0.01,0.003300604409955302,True
philpapers,arxiv,0.01,0.003306116979401322,True
philpapers,pubmed_central,0.01,0.003243880774082552,True
philpapers,github,0.01,0.0032429314979056396,True
philpapers,pile_cc,0.01,0.0032377524681251367,True
philpapers,nih_exporter,0.01,0.003138467580979029,True
philpapers,uspto_backgrounds,0.01,0.0031570751603690085,True
philpapers,freelaw,0.01,0.0029711960674491324,True
philpapers,hackernews,0.01,0.002455841499614599,True
philpapers,europarl,0.01,0.0019179251222285988,True
philpapers,philpapers,0.01,,False
philpapers,enron_emails,0.01,,False
enron_emails,ubuntu_irc,0.01,0.021999938010205295,True
enron_emails,dm_mathematics,0.01,0.021699101362365667,True
enron_emails,stackexchange,0.01,0.016969352317055857,True
enron_emails,pubmed_abstracts,0.01,0.0161947785956214,True
enron_emails,wikipedia_en,0.01,0.015818090781608313,True
enron_emails,gutenberg_pg_19,0.01,0.01567709798649089,True
enron_emails,arxiv,0.01,0.01568261055593691,True
enron_emails,pubmed_central,0.01,0.015620374350618143,True
enron_emails,github,0.01,0.015619425074441229,True
enron_emails,pile_cc,0.01,0.015614246044660727,True
enron_emails,nih_exporter,0.01,0.01551496115751462,True
enron_emails,uspto_backgrounds,0.01,0.0155335687369046,True
enron_emails,freelaw,0.01,0.015347689643984721,True
enron_emails,hackernews,0.01,0.014832335076150189,True
enron_emails,europarl,0.01,0.014294418698764189,True
enron_emails,philpapers,0.01,,False
enron_emails,enron_emails,0.01,,False
