Model,submission,N_B,Y,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Hub License,Epoch_AI_Open_Weights,type_group,family,namespace,license_permissive,strict_open,license_only_unverified,license_explicit_no,epoch_publication,publication_lag_days,t_month,logN
AGI-0/Artificium-llama3.1-8B-001,2024-09-08,8.03,19.491817924739056,52.47687247614108,19.34889807323965,13.595166163141997,2.1252796420581683,5.165625000000001,24.23906619385342,unknown,,posttrained,llama,agi-0,False,False,False,False,,,3.02258726899384,0.9047155452786809
AGI-0/smartllama3.1-8B-001,2024-11-25,8.03,20.424552077662117,35.178659290682056,24.8577369132814,12.990936555891238,7.494407158836691,14.397395833333333,27.628176713947987,unknown,,posttrained,llama,agi-0,False,False,False,False,,,5.585215605749487,0.9047155452786809
AI-MO/NuminaMath-7B-CoT,2024-09-10,6.91,16.118457218023075,26.88544173903022,19.152364282090307,26.96374622356496,2.1252796420581683,0.8263020833333333,20.75760933806146,apache-2.0,,posttrained,namespace:ai-mo,ai-mo,True,False,True,False,,,3.0882956878850103,0.8394780473741984
AI-MO/NuminaMath-7B-TIR,2024-07-11,6.91,14.182289143173433,27.562423259174547,16.87354725795866,16.08761329305136,1.1185682326621946,4.199218749999999,19.25236406619385,apache-2.0,,posttrained,namespace:ai-mo,ai-mo,True,False,True,False,,,1.0841889117043122,0.8394780473741984
AI-Sweden-Models/Llama-3-8B-instruct,2024-06-27,8.03,14.343669671742774,24.012841482821138,18.388095615027524,3.8519637462235647,2.1252796420581683,19.93671875,17.747118794326237,llama3,,posttrained,llama,ai-sweden-models,False,False,False,False,,,0.6242299794661191,0.9047155452786809
AI-Sweden-Models/gpt-sw3-40b,2024-06-26,39.927,4.872902485288683,14.702988071649887,6.894934050796576,1.7371601208459215,0.0,2.83828125,3.064051418439715,other,Yes,pretrained,namespace:ai-sweden-models,ai-sweden-models,False,False,False,False,2023-03-01,483.0,0.5913757700205339,1.6012666797813162
AI4free/Dhanishtha,2025-02-19,1.777,11.247711953182252,24.51240486353985,7.93648440557281,25.604229607250755,0.3355704697986553,1.951822916666666,7.145759456264774,apache-2.0,,continually_pretrained,namespace:ai4free,ai4free,True,False,True,False,,,8.410677618069816,0.2496874278053015
AI4free/t2,2025-02-27,7.613,11.33461581083953,38.66828902866616,2.133152068631521,18.95770392749245,1.0067114093959737,5.646093750000001,1.595744680851063,,No,merge,namespace:ai4free,ai4free,False,False,False,False,2021-03-24,1436.0,8.673511293634498,0.8815558297933116
AIDC-AI/Marco-o1,2025-01-31,7.616,27.639223265636087,47.7083028586373,34.84254498655976,37.46223564954683,1.230425055928408,9.963802083333334,34.62802895981088,apache-2.0,Yes,posttrained,namespace:aidc-ai,aidc-ai,True,True,False,False,2024-10-16,107.0,7.786447638603696,0.8817269353764179
Aashraf995/Creative-7B-nerd,2024-12-13,7.616,29.978192515967816,47.21871301480073,37.0801538173552,31.64652567975831,10.17897091722595,14.942708333333334,38.802083333333336,apache-2.0,,merge,namespace:aashraf995,aashraf995,True,False,True,False,,,6.176591375770021,0.8817269353764179
Aashraf995/Gemma-Evo-10B,2024-12-13,10.159,34.32632733409121,73.32211864519475,43.42455936867185,22.2809667673716,13.870246085011187,16.66822916666666,36.3918439716312,apache-2.0,,merge,gemma,aashraf995,True,False,True,False,,,6.176591375770021,1.006850960324272
Aashraf995/Qwen-Evo-7B,2024-12-13,7.616,30.275058582706112,47.57343847657549,38.585326990506125,31.41993957703928,10.067114093959727,15.534895833333335,38.46963652482269,apache-2.0,,merge,qwen,aashraf995,True,False,True,False,,,6.176591375770021,0.8817269353764179
Aashraf995/QwenStock-14B,2024-12-13,14.766,37.13002133952593,50.08632650256874,50.43389870716874,35.725075528700906,18.5682326621924,19.274218750000003,48.69237588652482,apache-2.0,,merge,qwen,aashraf995,True,False,True,False,,,6.176591375770021,1.1692628640864462
AbacusResearch/Jallabi-34B,2024-06-27,34.389,26.186081920716532,35.28604103777975,43.61576498719506,5.211480362537765,11.85682326621924,20.23880208333333,40.90757978723404,apache-2.0,,merge,namespace:abacusresearch,abacusresearch,True,False,True,False,,,0.6242299794661191,1.5364195471277338
Ahdoot/StructuredThinker-v0.3-MoreStructure,2025-01-01,3.397,23.924082152035727,41.928084150055184,27.258541777802407,29.0785498489426,6.263982102908276,10.011197916666667,29.00413711583924,,,merge,namespace:ahdoot,ahdoot,False,False,False,False,,,6.80082135523614,0.5310955468700279
Ahdoot/Test_StealthThinker,2025-01-05,3.086,22.06904758264274,42.20036170693759,25.366571749083093,17.900302114803626,6.152125279642054,11.938541666666666,28.856382978723406,mit,,posttrained,namespace:ahdoot,ahdoot,True,False,True,False,,,6.93223819301848,0.4893959217271294
AicoresSecurity/Cybernet-Sec-3B-R1-V0,2025-02-26,3.213,20.584200054790823,63.58018945287393,22.32210586978715,11.555891238670696,1.789709172259505,1.920572916666666,22.336731678486995,,,posttrained,namespace:aicoressecurity,aicoressecurity,False,False,False,False,,,8.640657084188911,0.5069107255515181
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,2025-02-26,3.213,22.930540293017284,70.9765644046685,22.65149321038919,14.879154078549847,2.9082774049217,1.965625,24.202127659574465,,,posttrained,namespace:aicoressecurity,aicoressecurity,False,False,False,False,,,8.640657084188911,0.5069107255515181
AicoresSecurity/Cybernet-Sec-3B-R1-V1,2025-03-07,3.213,19.9979903395144,61.45693426774292,19.125071594281845,15.181268882175228,1.45413870246085,1.920572916666666,20.849955673758867,,,posttrained,namespace:aicoressecurity,aicoressecurity,False,False,False,False,,,8.936344969199178,0.5069107255515181
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,2025-03-07,3.213,22.643406810994602,67.30209178313541,20.43056853928926,17.598187311178247,2.796420581655479,4.528385416666668,23.204787234042552,,,posttrained,namespace:aicoressecurity,aicoressecurity,False,False,False,False,,,8.936344969199178,0.5069107255515181
Alepach/notHumpback-M0,2025-01-17,3.213,5.137220097878129,23.50075577246152,1.2773603683897798,1.8882175226586104,0.0,2.83828125,1.3187056737588652,apache-2.0,,posttrained,namespace:alepach,alepach,True,False,True,False,,,7.326488706365503,0.5069107255515181
Alepach/notHumpback-M1,2025-01-17,3.213,4.779297887614574,22.06944241279804,1.922946094565394,1.5861027190332326,0.0,2.0833333333333326,1.0139627659574466,apache-2.0,,posttrained,namespace:alepach,alepach,True,False,True,False,,,7.326488706365503,0.5069107255515181
Alepach/notHumpback-M1-v2,2025-01-19,3.213,5.206724746715221,22.77135777514772,1.2676708259061196,2.190332326283988,1.342281879194629,2.35,1.3187056737588652,,,posttrained,namespace:alepach,alepach,False,False,False,False,,,7.392197125256674,0.5069107255515181
Alibaba-NLP/gte-Qwen2-7B-instruct,2024-08-05,7.613,13.834176058521932,22.55404548819355,21.92548248566236,6.419939577039275,0.0,6.315104166666665,25.790484633569736,apache-2.0,,posttrained,qwen,alibaba-nlp,True,False,True,False,,,1.9055441478439425,0.8815558297933116
Alsebay/Qwen2.5-7B-test-novelist,2024-12-12,7.616,27.172849099811746,53.51600420218354,30.417500036353,23.48942598187311,5.480984340044745,18.29401041666667,31.839169621749413,apache-2.0,Yes,posttrained,qwen,alsebay,True,True,False,False,2024-09-19,84.0,6.143737166324435,0.8817269353764179
Amaorynho/BBAI2006,2025-02-27,1.09,3.4638352160730896,14.670518668244704,1.6776683167876156,0.0,0.3355704697986553,2.734375,1.3648788416075646,,,merge,namespace:amaorynho,amaorynho,False,False,False,False,,,8.673511293634498,0.037426497940623665
Amaorynho/BBAI270V4,2025-02-26,7.616,4.549298117195413,19.90374428737971,3.006785000149223,0.8308157099697886,0.0,2.291145833333333,1.263297872340425,,,merge,namespace:amaorynho,amaorynho,False,False,False,False,,,8.640657084188911,0.8817269353764179
Amaorynho/BBAIIFEV1,2025-03-01,8.03,30.577013862416408,80.47369867507103,32.97465792285014,19.335347432024168,8.05369127516779,10.877864583333327,31.746823286052013,,,merge,namespace:amaorynho,amaorynho,False,False,False,False,,,8.739219712525667,0.9047155452786809
Amaorynho/BBAI_375,2025-02-27,1.09,3.4638352160730896,14.670518668244704,1.6776683167876156,0.0,0.3355704697986553,2.734375,1.3648788416075646,,,merge,namespace:amaorynho,amaorynho,False,False,False,False,,,8.673511293634498,0.037426497940623665
Amu/t1-1.5B,2025-03-08,1.777,12.14138331246111,33.93717558300864,15.17286027788074,5.13595166163142,0.0,1.1968749999999997,17.405437352245865,mit,,posttrained,namespace:amu,amu,True,False,True,False,,,8.969199178644764,0.2496874278053015
Amu/t1-3B,2025-03-13,3.397,11.160895171582572,33.27770316094629,15.248848632790676,13.746223564954684,0.0,1.5361979166666664,3.1563977541371155,mit,,posttrained,namespace:amu,amu,True,False,True,False,,,9.13347022587269,0.5310955468700279
ArliAI/ArliAI-RPMax-12B-v1.1,2024-09-05,12.248,20.976339912086193,53.48852156721942,24.80906331793277,11.253776435045316,4.250559284116329,5.563802083333336,26.492316784869978,apache-2.0,,posttrained,namespace:arliai,arliai,True,False,True,False,,,2.924024640657084,1.0880651776902046
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,2024-09-19,8.03,23.942143268323218,63.59016298975607,28.787014099442825,13.141993957703926,4.4742729306487705,5.3109375000000005,28.34847813238771,llama3,,posttrained,llama,arliai,False,False,False,False,,,3.383983572895277,0.9047155452786809
Arthur-LAGACHERIE/Precis-1B-Instruct,2025-01-19,1.236,8.848710962428209,36.70738086056109,6.06909792285563,0.3776435045317221,2.1252796420581683,3.077343750000001,4.735520094562647,llama3.2,,posttrained,namespace:arthur-lagacherie,arthur-lagacherie,False,False,False,False,,,7.392197125256674,0.09201847075279702
Artples/L-MChat-7b,2024-07-07,7.242,21.238493444242582,52.96646231997766,24.20155738881327,9.214501510574015,7.38255033557047,8.124739583333334,25.54114952718676,apache-2.0,,merge,namespace:artples,artples,True,False,True,False,,,0.9527720739219713,0.8598585204809929
Artples/L-MChat-Small,2024-07-07,2.78,15.231327982629294,32.87056122200207,26.85651550003136,3.776435045317221,2.348993288590602,9.265885416666665,16.269577423167846,mit,,merge,namespace:artples,artples,True,False,True,False,,,0.9527720739219713,0.4440447959180762
Aryanne/QwentileSwap,2025-02-05,32.764,43.91650770857709,73.78422585406722,57.67565555333628,42.220543806646525,15.659955257270694,19.20520833333333,54.95345744680851,apache-2.0,,merge,qwen,aryanne,True,False,True,False,,,7.950718685831622,1.5153969172605857
Aryanne/SHBA,2025-01-11,8.03,29.875548231649606,78.16560060639105,32.47770265291174,17.97583081570997,7.38255033557047,11.11692708333333,32.134677895981085,,,merge,namespace:aryanne,aryanne,False,False,False,False,,,7.129363449691992,0.9047155452786809
Aryanne/SuperHeart,2024-09-23,8.03,25.55719928277682,51.92234382549414,31.893554212659296,15.634441087613292,6.823266219239373,14.713281249999996,32.35630910165484,llama3.1,,merge,namespace:aryanne,aryanne,False,False,False,False,,,3.515400410677618,0.9047155452786809
AtAndDev/Qwen2.5-1.5B-continuous-learnt,2024-10-13,1.544,16.518524239214223,46.05214165081983,19.53766599736009,7.477341389728097,2.1252796420581683,3.789062500000001,20.12965425531915,,Yes,posttrained,qwen,atanddev,False,False,False,False,2024-09-19,24.0,4.172484599589322,0.18864729599971736
Ateron/Glowing-Forest-12B,2025-03-06,12.248,22.61202461496205,35.91803082487799,35.52548240518279,7.779456193353475,11.0738255033557,15.179947916666665,30.1954048463357,,,merge,namespace:ateron,ateron,False,False,False,False,,,8.903490759753593,1.0880651776902046
Ateron/Lotus-Magpic,2025-03-05,12.248,25.49856357813722,62.86076499244227,32.65772737584173,9.969788519637463,7.046979865771815,12.781770833333336,27.67434988179669,,,merge,namespace:ateron,ateron,False,False,False,False,,,8.870636550308008,1.0880651776902046
Ateron/Way_of_MagPicaro,2025-03-05,12.248,20.630569141650984,26.37091805298829,34.315941121704846,5.8912386706948645,11.185682326621922,17.84661458333333,28.173020094562645,,,merge,namespace:ateron,ateron,False,False,False,False,,,8.870636550308008,1.0880651776902046
AuraIndustries/Aura-4B,2024-12-13,4.513,16.063480369846303,38.15620331830654,22.64085672774061,4.229607250755287,5.033557046979867,7.363802083333335,18.95685579196217,apache-2.0,,posttrained,namespace:auraindustries,auraindustries,True,False,True,False,,,6.176591375770021,0.6544653335201458
AuraIndustries/Aura-8B,2024-12-10,8.03,27.363297533889398,72.05315230255721,30.98134841070972,15.181268882175228,4.809843400447425,9.22265625,31.93151595744681,apache-2.0,,posttrained,namespace:auraindustries,auraindustries,True,False,True,False,,,6.078028747433265,0.9047155452786809
AuraIndustries/Aura-MoE-2x4B,2024-12-14,7.231,16.79797839924053,46.00969871053249,20.61384808360901,3.096676737160121,2.9082774049217,9.83046875,18.32890070921986,,,posttrained,namespace:auraindustries,auraindustries,False,False,False,False,,,6.209445585215605,0.8591983615338774
AuraIndustries/Aura-MoE-2x4B-v2,2024-12-15,7.231,17.515881576703762,47.77822843388875,20.801181076748463,3.1722054380664653,5.033557046979867,10.42447916666667,17.88563829787234,,,posttrained,namespace:auraindustries,auraindustries,False,False,False,False,,,6.242299794661191,0.8591983615338774
Aurel9/testmerge-7b,2024-11-16,7.242,20.96930213435916,39.79984219648311,32.79279332763635,6.570996978851963,6.711409395973152,17.133072916666666,22.807697990543733,,,merge,namespace:aurel9,aurel9,False,False,False,False,,,5.28952772073922,0.8598585204809929
Ayush-Singh/Llama1B-sft-2,2025-02-05,1.236,3.16932294507677,13.743755457741017,1.2375708061002186,0.0,0.0,2.734375,1.300236406619384,,,posttrained,llama,ayush-singh,False,False,False,False,,,7.950718685831622,0.09201847075279702
Azure99/Blossom-V6-14B,2025-01-30,14.77,32.80581546858162,63.95486198841297,30.3528011952772,52.567975830815705,1.6778523489932915,8.906770833333335,39.3746306146572,apache-2.0,,posttrained,namespace:azure99,azure99,True,False,True,False,,,7.753593429158111,1.1693804953119495
Azure99/Blossom-V6-7B,2025-01-30,7.616,31.04565038906736,55.38194213575535,29.447521285247884,45.84592145015105,7.270693512304249,13.395052083333336,34.932771867612296,apache-2.0,,posttrained,namespace:azure99,azure99,True,False,True,False,,,7.753593429158111,0.8817269353764179
Azure99/blossom-v5-32b,2024-09-21,32.512,27.724659940062114,52.3544196066437,42.883055884713976,18.65558912386707,8.165548098434002,8.350000000000001,35.93934692671394,apache-2.0,,posttrained,namespace:azure99,azure99,True,False,True,False,,,3.4496919917864477,1.5120436862678064
Azure99/blossom-v5-llama3-8b,2024-09-21,8.03,14.598962808998438,43.4293230849701,18.306535405618444,5.13595166163142,2.0134228187919474,5.3109375000000005,13.397606382978722,apache-2.0,,posttrained,llama,azure99,True,False,True,False,,,3.4496919917864477,0.9047155452786809
Azure99/blossom-v5.1-34b,2024-07-27,34.389,30.298681690900178,56.96562897556262,44.14770458838461,25.90634441087613,7.941834451901568,7.298958333333334,39.53161938534279,apache-2.0,,posttrained,namespace:azure99,azure99,True,False,True,False,,,1.6098562628336757,1.5364195471277338
Azure99/blossom-v5.1-9b,2024-07-24,8.829,26.470194407631528,50.85816744016986,34.20124449031171,21.22356495468278,11.409395973154364,8.024479166666667,33.10431442080379,apache-2.0,,posttrained,namespace:azure99,azure99,True,False,True,False,,,1.51129363449692,0.9459115168192734
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,2024-09-05,9.242,22.607935619579848,31.763831079313995,42.19084405906616,9.743202416918429,11.968680089485462,8.104947916666669,31.876108156028373,,,posttrained,gemma,baai,False,False,False,False,,,2.924024640657084,0.9657659641826862
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,2024-06-28,70.554,35.57824290922367,68.21134589555712,51.32716098252212,21.52567975830816,14.429530201342288,16.53255208333333,41.44318853427896,apache-2.0,,posttrained,llama,baai,True,False,True,False,,,0.6570841889117043,1.8485216407506466
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,2024-06-27,7.242,22.29353000800769,53.19873491225504,28.992936470320583,8.157099697885197,6.152125279642054,13.252083333333331,24.00820035460993,apache-2.0,,posttrained,mistral,baai,True,False,True,False,,,0.6242299794661191,0.8598585204809929
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,2024-08-30,70.554,36.91009196843762,74.42120240960651,52.02816164280523,22.507552870090635,14.317673378076066,18.34036458333333,39.84559692671394,apache-2.0,,posttrained,llama,baai,True,False,True,False,,,2.726899383983573,1.8485216407506466
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,2024-07-13,8.03,22.062531958779175,60.50268842227513,28.9882222457564,8.836858006042297,3.355704697986576,5.667708333333335,25.02401004728132,apache-2.0,,posttrained,llama,baai,True,False,True,False,,,1.1498973305954825,0.9047155452786809
