Model_C1,Model_C4,Training compute (FLOP),Training compute estimation method,Link,source_review_status,primary_evidence_url,evidence_observation,source_derived_flops,source_vs_c4_relative_difference,review_scope
HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,1.03e+22,Operation counting,https://huggingface.co/blog/smollm,source_supported_estimate,https://huggingface.co/blog/smollm,Developer says base 1.7B model trained on 1T tokens; C4 computes 6 x 1.71B x 1T.,1.026e+22,0.003898635477583051,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2-0.5B,Qwen2-0.5B,3.6e+22,Operation counting,"https://qwenlm.github.io/blog/qwen2/
https://arxiv.org/abs/2407.10671",source_supported_estimate,https://arxiv.org/html/2407.10671,Author Table 1 reports 12T tokens for this dense size; C4 applies approximate 6ND.,3.6e+22,0.0,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2-1.5B,Qwen2-1.5B,6.3e+22,Operation counting,"https://qwenlm.github.io/blog/qwen2/
https://arxiv.org/abs/2407.10671",source_supported_estimate,https://arxiv.org/html/2407.10671,Author Table 1 reports 7T tokens for this dense size; C4 applies approximate 6ND.,6.3e+22,0.0,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2-57B-A14B,Qwen2-57B-A14B,3.7800000000001e+23,Operation counting,"https://qwenlm.github.io/blog/qwen2/
https://arxiv.org/abs/2407.10671",not_comparable,https://arxiv.org/html/2407.10671,Paper describes dense-to-MoE upcycling and an additional 4.5T tokens; C4's active-parameter 6ND omits ancestor training and is not total from-scratch compute.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2-7B,Qwen2-7B,2.9400000000001e+23,Operation counting,"https://qwenlm.github.io/blog/qwen2/
https://arxiv.org/abs/2407.10671",source_supported_estimate,https://arxiv.org/html/2407.10671,Author Table 1 reports 7T tokens for this dense size; C4 applies approximate 6ND.,2.94e+23,3.401095488435374e-14,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,1.6632e+23,Operation counting,https://qwenlm.github.io/blog/qwen2.5-llm/,insufficient_evidence,https://qwenlm.github.io/blog/qwen2.5/,Developer says up to 18T tokens across the family; the cited page does not establish exactly 18T for this individual checkpoint.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2.5-14B,Qwen2.5-14B,1.58760000000001e+24,Operation counting,https://qwenlm.github.io/blog/qwen2.5/,insufficient_evidence,https://qwenlm.github.io/blog/qwen2.5/,Developer says up to 18T tokens across the family; the cited page does not establish exactly 18T for this individual checkpoint.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2.5-32B,Qwen2.5-32B,3.51e+24,Operation counting,https://qwenlm.github.io/blog/qwen2.5/,insufficient_evidence,https://qwenlm.github.io/blog/qwen2.5/,Developer says up to 18T tokens across the family; the cited page does not establish exactly 18T for this individual checkpoint.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
Qwen/Qwen2.5-7B,Qwen2.5-7B,8.2188e+23,Operation counting,https://qwenlm.github.io/blog/qwen2.5/,insufficient_evidence,https://qwenlm.github.io/blog/qwen2.5/,Developer says up to 18T tokens across the family; the cited page does not establish exactly 18T for this individual checkpoint.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
microsoft/phi-1,Phi-1,3.3234195e+20,"Operation counting,Hardware",https://arxiv.org/abs/2306.11644,not_comparable,https://arxiv.org/html/2306.11644,Author paper distinguishes phi-1-base after 51B tokens from phi-1 after additional code-exercise fine-tuning; C4 value mixes estimates and does not isolate the released checkpoint's full training.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
microsoft/phi-4,Phi-4,9.3202015e+23,"Operation counting,Hardware",https://arxiv.org/abs/2412.08905,not_comparable,https://huggingface.co/microsoft/phi-4,"Official model card describes SFT and DPO on released phi-4; C4 geometric-mean estimate addresses pretraining-scale compute, not the released post-trained checkpoint's total.",,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
mosaicml/mpt-7b,MPT-7B,4.2e+22,Hardware,https://www.mosaicml.com/blog/mpt-7b,insufficient_evidence,https://www.mosaicml.com/blog/mpt-7b,C4 lists 440 A100s for about 9.5 days but does not document how its exact 4.2e22 FLOPs was obtained; model-specific FLOP estimate remains to reconcile.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
tiiuae/falcon-7b,Falcon-7B,6.3e+22,"Operation counting,Reported",https://huggingface.co/tiiuae/falcon-7b,source_supported_estimate,https://arxiv.org/html/2311.16867,"Author Table 1 reports 730 PF-days and 1,500B tokens; C4's 6.3e22 FLOPs agrees with PF-day conversion to rounding.",6.3072e+22,0.0011415525114154919,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
