Model_C1,Model_C4,match_key,N_B,Parameters,N_ratio,submission,Publication date,Confidence,Domain,Open model weights?,strict_open,type_group_raw,type_group,Hugging Face developer id,C4_key_unique,C1_key_unique,developer_id_available,developer_id_matches,source_identity_supported,N_consistent,date_consistent,language_domain,source_confident,weight_agreement,accepted_link,review_candidate,usable_compute,Training compute (FLOP),Training dataset size (total)
Qwen/Qwen1.5-14B,Qwen1.5-14B,qwen1514b,14.167,14000000000.0,1.0119285714285715,2024-06-13,2024-02-04,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,3.36e+23,
Qwen/Qwen1.5-32B,Qwen1.5-32B,qwen1532b,32.512,32000000000.0,1.016,2024-06-13,2024-02-05,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,,
Qwen/Qwen1.5-7B,Qwen1.5-7B,qwen157b,7.721,7000000000.0,1.103,2024-06-09,2024-02-04,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,1.68e+23,
Qwen/Qwen2-0.5B,Qwen2-0.5B,qwen205b,0.494,500000000.0,0.988,2024-11-30,2024-06-07,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,3.6e+22,12000000000000
Qwen/Qwen2-1.5B,Qwen2-1.5B,qwen215b,1.544,1500000000.0,1.0293333333333334,2024-06-09,2024-06-07,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,6.3e+22,7000000000000
Qwen/Qwen2-57B-A14B,Qwen2-57B-A14B,qwen257ba14b,57.409,57000000000.0,1.0071754385964913,2024-06-13,2024-06-07,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,3.7800000000001e+23,
Qwen/Qwen2-72B,Qwen2-72B,qwen272b,72.706,72710000000.0,0.9999449869343969,2024-06-26,2024-06-07,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,3.02e+24,7000000000000
Qwen/Qwen2-7B,Qwen2-7B,qwen27b,7.616,7000000000.0,1.088,2024-06-09,2024-06-07,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,2.9400000000001e+23,7000000000000
Qwen/Qwen2-Math-7B,Qwen2-Math-7B,qwen2math7b,7.616,7000000000.0,1.088,2024-08-19,2024-08-09,Confident,Language,Yes,True,posttrained,posttrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,,
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,qwen2515b,1.5,1540000000.0,0.974025974025974,2024-09-19,2024-09-19,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,1.6632e+23,
Qwen/Qwen2.5-14B,Qwen2.5-14B,qwen2514b,14.77,14700000000.0,1.0047619047619047,2024-09-19,2024-09-19,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,False,True,True,True,True,True,True,True,True,True,True,True,1.58760000000001e+24,
Qwen/Qwen2.5-32B,Qwen2.5-32B,qwen2532b,32.764,32500000000.0,1.0081230769230771,2024-09-19,2024-09-17,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,3.51e+24,18000000000000
Qwen/Qwen2.5-3B,Qwen2.5-3B,qwen253b,3.086,3090000000.0,0.998705501618123,2024-09-27,2024-09-19,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,3.3372e+23,
Qwen/Qwen2.5-72B,Qwen2.5-72B,qwen2572b,72.706,72700000000.0,1.000082530949106,2024-09-19,2024-09-19,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,7.8e+24,18000000000000
Qwen/Qwen2.5-7B,Qwen2.5-7B,qwen257b,7.616,7610000000.0,1.0007884362680683,2024-09-19,2024-09-19,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,True,8.2188e+23,
Qwen/Qwen2.5-Coder-32B,Qwen2.5-Coder (32B),qwen25coder32b,32.764,32500000000.0,1.0081230769230771,2024-12-10,2024-11-12,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,1.0725e+24,
Qwen/Qwen2.5-Coder-7B,Qwen2.5-Coder (7B),qwen25coder7b,7.616,7610000000.0,1.0007884362680683,2024-09-21,2024-09-18,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,2.5113e+23,
SeaLLMs/SeaLLM-7B-v2,SeaLLM-7B-v2,seallm7bv2,7.376,7380000000.0,0.9994579945799458,2024-09-17,2023-12-01,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
SeaLLMs/SeaLLM-7B-v2.5,SeaLLM-7B-v2.5,seallm7bv25,8.538,8540000000.0,0.9997658079625292,2024-07-29,2023-12-01,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
WizardLMTeam/WizardLM-13B-V1.2,WizardLM 13B v1.2,wizardlm13bv12,13.0,13000000000.0,1.0,2024-06-12,2023-07-25,Confident,Language,Yes,False,posttrained,posttrained,WizardLMTeam,True,True,True,True,True,True,True,True,True,True,True,False,False,,
allknowingroger/Yi-1.5-34B,Yi-1.5-34B,yi1534b,34.389,34000000000.0,1.0114411764705882,2024-10-21,2024-05-13,Confident,Language,Yes,False,merge,merge,01-ai,True,False,True,False,False,True,True,True,True,True,False,False,False,7.344e+23,
alpindale/WizardLM-2-8x22B,WizardLM-2 8x22B,wizardlm28x22b,140.621,141000000000.0,0.9973120567375886,2024-06-28,2024-04-15,Confident,Language,Yes,False,posttrained,posttrained,alpindale,True,True,True,True,True,True,True,True,True,True,True,False,False,,
apple/DCLM-7B,DCLM 7B,dclm7b,7.0,7000000000.0,1.0,2024-08-16,2024-07-20,Confident,Language,Yes,False,pretrained,pretrained,apple,True,True,True,True,True,True,True,True,True,True,True,False,False,1.05e+23,2500000000000
berkeley-nest/Starling-LM-7B-alpha,Starling-LM-7B-alpha,starlinglm7balpha,7.242,7000000000.0,1.0345714285714285,2024-06-12,2023-11-25,Confident,Language,Yes,True,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,138133333
bigcode/starcoder2-15b,StarCoder 2 15B,starcoder215b,15.958,15000000000.0,1.0638666666666667,2024-06-09,2024-02-29,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,3.87e+23,913230000000
bigcode/starcoder2-3b,StarCoder 2 3B,starcoder23b,3.03,3000000000.0,1.01,2024-06-09,2024-02-29,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,5.94e+22,622090000000
bigcode/starcoder2-7b,StarCoder 2 7B,starcoder27b,7.174,7000000000.0,1.024857142857143,2024-06-09,2024-02-29,Confident,Language,Yes,False,pretrained,pretrained,bigcode,True,True,True,True,True,True,True,True,True,True,True,False,False,1.55e+23,658580000000
bigscience/bloom-3b,BLOOM-3B,bloom3b,3.003,3000000000.0,1.001,2024-06-13,2022-07-05,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,354000000000
bigscience/bloom-560m,BLOOM-560M,bloom560m,0.559,560000000.0,0.9982142857142857,2024-06-13,2022-07-05,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,354000000000
braindao/DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-14B,deepseekr1distillqwen14b,14.77,14800000000.0,0.9979729729729729,2025-03-04,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,False,True,False,False,True,True,True,False,True,False,False,False,,24000000000
braindao/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,deepseekr1distillqwen7b,7.616,7000000000.0,1.088,2025-03-04,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,False,True,False,False,True,True,True,False,True,False,False,False,,
braindao/Qwen2.5-14B,Qwen2.5-14B,qwen2514b,14.77,14700000000.0,1.0047619047619047,2025-03-06,2024-09-19,Confident,Language,Yes,True,pretrained,pretrained,Qwen,True,False,True,False,False,True,True,True,True,True,False,False,False,1.58760000000001e+24,
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-70B,deepseekr1distillllama70b,70.554,70000000000.0,1.0079142857142858,2025-01-22,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,True,True,True,True,True,True,True,False,True,False,False,False,,24000000000
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,deepseekr1distillllama8b,8.03,8000000000.0,1.00375,2025-01-20,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,True,True,True,True,True,True,True,False,True,False,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-1.5B,deepseekr1distillqwen15b,1.777,1780000000.0,0.998314606741573,2025-01-20,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,True,True,True,True,True,True,True,False,True,False,False,False,,24000000000
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-14B,deepseekr1distillqwen14b,14.77,14800000000.0,0.9979729729729729,2025-01-20,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,False,True,True,True,True,True,True,False,True,False,False,False,,24000000000
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,deepseekr1distillqwen32b,32.764,32000000000.0,1.023875,2025-01-21,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,,True,True,False,False,True,True,True,True,False,True,False,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,deepseekr1distillqwen7b,7.616,7000000000.0,1.088,2025-01-20,2025-01-22,Speculative,Language,Yes,True,posttrained,posttrained,deepseek-ai,True,False,True,True,True,True,True,True,False,True,False,False,False,,
dreamgen/WizardLM-2-7B,WizardLM-2 7B,wizardlm27b,7.242,7000000000.0,1.0345714285714285,2024-06-27,2024-04-15,Confident,Language,Yes,False,posttrained,posttrained,dreamgen,True,True,True,True,True,True,True,True,True,True,True,False,False,,
facebook/opt-1.3b,OPT-1.3B,opt13b,1.3,1300000000.0,1.0,2024-06-12,2022-06-21,Confident,Language,Yes,False,pretrained,pretrained,,False,True,False,False,True,True,True,True,True,True,False,False,False,,180000000000
facebook/opt-1.3b,OPT-13B,opt13b,1.3,13000000000.0,0.1,2024-06-12,2022-05-02,Likely,,,False,pretrained,pretrained,,False,True,False,False,True,False,True,False,True,True,False,False,False,3.53e+23,180000000000
facebook/opt-30b,OPT-30B,opt30b,30.0,30000000000.0,1.0,2024-06-12,2022-06-21,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,5.4000000000001e+22,180000000000
google/flan-ul2,Flan UL2,flanul2,19.46,19500000000.0,0.997948717948718,2024-08-07,2023-03-03,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
google/gemma-2-27b,Gemma 2 27B,gemma227b,27.227,27000000000.0,1.0084074074074074,2024-08-24,2024-06-24,Confident,Language,Yes,False,pretrained,pretrained,google,True,True,True,True,True,True,True,True,True,True,True,False,False,2.106e+24,13000000000000
google/gemma-2-2b,Gemma 2 2B,gemma22b,2.614,2600000000.0,1.0053846153846153,2024-07-31,2024-06-24,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,3.12e+22,2000000000000
google/gemma-2-9b,Gemma 2 9B,gemma29b,9.0,9000000000.0,1.0,2024-07-11,2024-06-24,Confident,Language,Yes,False,pretrained,pretrained,google,True,True,True,True,True,True,True,True,True,True,True,False,False,4.32e+23,8000000000000
google/gemma-2b,Gemma 2B,gemma2b,2.506,2506434560.0,0.9998266222438299,2024-06-12,2024-02-21,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,4.5115822e+22,3000000000000
google/gemma-7b,Gemma 7B,gemma7b,8.538,8538074112.0,0.9999913198223594,2024-06-08,2024-02-21,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,3.07e+23,6000000000000
google/mt5-xxl,mT5-XXL,mt5xxl,11.9,13000000000.0,0.9153846153846154,2024-09-06,2020-10-20,Confident,Language,Yes,True,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,8.2e+22,1000000000000
huggyllama/llama-13b,LLaMA-13B,llama13b,13.016,13000000000.0,1.0012307692307691,2024-07-04,2023-02-27,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,7.8e+22,1000000000000
huggyllama/llama-65b,LLaMA-65B,llama65b,65.286,65200000000.0,1.001319018404908,2024-06-26,2023-02-24,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,5.5e+23,1400000000000
huggyllama/llama-7b,LLaMA-7B,llama7b,6.738,6700000000.0,1.0056716417910447,2024-07-04,2023-02-24,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,4.00000001e+22,1000000000000
jebish7/aya-expanse-8b,Aya Expanse 8B,ayaexpanse8b,8.028,8000000000.0,1.0035,2025-02-06,2024-10-24,Likely,Language,Yes,False,pretrained,pretrained,,True,False,False,False,False,True,True,True,True,True,False,False,False,1.65664e+21,34513333333
lmsys/vicuna-13b-v1.3,Vicuna-13B-v1.3,vicuna13bv13,13.0,13000000000.0,1.0,2024-06-28,2023-06-22,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
lmsys/vicuna-7b-v1.3,Vicuna-7B-v1.3,vicuna7bv13,7.0,7000000000.0,1.0,2024-06-28,2023-06-22,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
lmsys/vicuna-7b-v1.5,Vicuna-7B-v1.5,vicuna7bv15,7.0,7000000000.0,1.0,2024-06-12,2023-08-01,Likely,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
meta-llama/Llama-3.1-70B,Llama 3.1-70B,llama3170b,70.554,70000000000.0,1.0079142857142858,2024-07-23,2024-07-23,Confident,Language,Yes,False,pretrained,pretrained,meta-llama,True,True,True,True,True,True,True,True,True,True,True,False,False,7.929e+24,15000000000000
meta-llama/Llama-3.1-8B,Llama 3.1-8B,llama318b,8.03,8000000000.0,1.00375,2024-12-07,2024-07-23,Likely,Language,Yes,False,posttrained,posttrained,meta-llama,True,True,True,True,True,True,True,True,True,True,True,False,False,1.224e+24,
meta-llama/Llama-3.2-1B,Llama 3.2 1B,llama321b,1.24,1230000000.0,1.008130081300813,2024-09-23,2024-09-24,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,6.642e+22,9000000000000
meta-llama/Llama-3.2-3B,Llama 3.2 3B,llama323b,3.213,3210000000.0,1.0009345794392523,2024-09-27,2024-09-24,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,1.7334e+23,9000000000000
microsoft/Orca-2-13b,Orca 2-13B,orca213b,13.0,13000000000.0,1.0,2024-06-12,2023-11-21,Confident,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,4.6e+22,
microsoft/phi-1,Phi-1,phi1,1.418,1300000000.0,1.0907692307692307,2024-06-13,2023-10-02,Confident,Language,Yes,True,pretrained,pretrained,microsoft,True,True,True,True,True,True,True,True,True,True,True,True,True,3.3234195e+20,
microsoft/phi-1_5,Phi-1.5,phi15,1.418,1300000000.0,1.0907692307692307,2024-06-09,2023-09-11,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,1.17e+21,30000000000
microsoft/phi-2,Phi-2,phi2,2.78,2700000000.0,1.0296296296296297,2024-06-09,2023-12-12,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,2.27e+22,250000000000
microsoft/phi-4,Phi-4,phi4,14.66,14000000000.0,1.0471428571428572,2025-01-08,2024-12-12,Confident,Language,Yes,True,pretrained,pretrained,microsoft,True,False,True,True,True,True,True,True,True,True,True,True,True,9.3202015e+23,
migtissera/Llama-3-70B-Synthia-v3.5,Llama-3-70B-Synthia-v3.5,llama370bsynthiav35,70.554,70000000000.0,1.0079142857142858,2024-08-28,2024-05-26,Confident,Language,Yes,False,posttrained,posttrained,migtissera,True,True,True,True,True,True,True,True,True,True,True,False,False,,
mosaicml/mpt-7b,MPT-7B,mpt7b,7.0,7000000000.0,1.0,2024-06-08,2023-05-05,Confident,Language,Yes,True,pretrained,pretrained,mosaicml,True,True,True,True,True,True,True,True,True,True,True,True,True,4.2e+22,
paloalma/Le_Triomphant-ECE-TW3,Le_Triomphant-ECE-TW3,letriomphantecetw3,72.289,72000000000.0,1.004013888888889,2024-07-25,2024-04-01,Confident,Language,Yes,True,merge,merge,paloalma,True,True,True,True,True,True,True,True,True,True,True,False,False,,
paloalma/TW3-JRGL-v2,TW3-JRGL-v2,tw3jrglv2,72.289,72000000000.0,1.004013888888889,2024-08-29,2024-04-01,Confident,Language,Yes,True,merge,merge,paloalma,True,True,True,True,True,True,True,True,True,True,True,False,False,,
rhymes-ai/Aria,Aria,aria,25.307,24900000000.0,1.0163453815261043,2024-10-10,2024-10-08,Confident,"Multimodal,Language,Video,Vision",Yes,False,other,other,rhymes-ai,True,True,True,True,True,True,True,True,True,True,True,False,False,1.428e+23,6800000000000
rootxhacker/apollo-7B,Apollo 7B,apollo7b,7.616,7000000000.0,1.088,2025-03-02,2024-12-13,Confident,"Video,Language,Multimodal",No,False,posttrained,posttrained,,False,True,False,False,True,True,True,True,True,True,False,False,False,,
rootxhacker/apollo-7B,Apollo-7B,apollo7b,7.616,7000000000.0,1.088,2025-03-02,2024-12-13,Confident,"Multimodal,Video,Language",No,False,posttrained,posttrained,,False,True,False,False,True,True,True,True,True,True,False,False,False,,
speakleash/Bielik-11B-v2,Bielik-11B-v2,bielik11bv2,11.169,11000000000.0,1.0153636363636365,2024-10-16,2024-08-28,Confident,Language,Yes,True,continually_pretrained,continually_pretrained,speakleash,True,True,True,True,True,True,True,True,True,True,True,False,False,,200000000000
stabilityai/StableBeluga2,Stable Beluga 2,stablebeluga2,68.977,70000000000.0,0.9853857142857143,2024-06-13,2023-07-20,Likely,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
stabilityai/stablelm-2-12b,Stable LM 2 12B,stablelm212b,12.143,12143605760.0,0.9999501169576835,2024-06-12,2024-04-08,Confident,Language,Yes,False,pretrained,pretrained,,False,True,False,False,True,True,True,True,True,True,False,False,False,2.91e+23,2000000000000
stabilityai/stablelm-2-12b,StableLM-2-12B,stablelm212b,12.143,12143605760.0,0.9999501169576835,2024-06-12,2024-02-07,Confident,,,False,pretrained,pretrained,,False,True,False,False,True,True,True,False,True,True,False,False,False,,2000000000000
stabilityai/stablelm-2-1_6b,StableLM-2-1.6B,stablelm216b,1.645,1644417024.0,1.000354518343882,2024-06-12,2024-01-18,Confident,Language,Yes,False,pretrained,pretrained,stabilityai,True,True,True,True,True,True,True,True,True,True,True,False,False,1.92e+22,2000000000000
stabilityai/stablelm-3b-4e1t,StableLM-3B-4E1T,stablelm3b4e1t,2.795,2795443200.0,0.9998414562671135,2024-08-10,2023-09-29,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,6.21e+22,1000000000000
stabilityai/stablelm-zephyr-3b,StableLM - Zephyr 3B,stablelmzephyr3b,2.795,3000000000.0,0.9316666666666666,2024-06-12,2023-12-07,Confident,Language,Yes,False,posttrained,posttrained,stabilityai,True,True,True,True,True,True,True,True,True,True,True,False,False,,
tiiuae/falcon-40b,Falcon-40B,falcon40b,40.0,40000000000.0,1.0,2024-06-09,2023-03-15,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,2.4e+23,1000000000000
