Model,Loss_Source,Loss_Comparability,Val_Loss,LB_Average,source_group_size
google/gemma-1.1-7b-it,"Gemma Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",2.2,17.693584228972615,3
facebook/opt-1.3b,"OPT paper (Zhang et al., 2022), Pile validation loss","Medium (different validation set, approximate)",2.75,5.276689334204645,1
deepseek-ai/deepseek-llm-7b-base,"DeepSeek LLM Technical Report (DeepSeek-AI, 2023), validation loss","Medium (different validation set, approximate)",2.15,8.227098434870664,1
microsoft/Phi-3-small-8k-instruct,"Phi-3 Technical Report (Microsoft, 2024), training loss","Medium (different validation set, approximate)",2.05,32.34201367038736,3
microsoft/Phi-3-medium-4k-instruct,"Phi-3 Technical Report (Microsoft, 2024), training loss","Medium (different validation set, approximate)",1.95,33.09765943937642,3
01-ai/Yi-1.5-34B,Yi-1.5 report,"Medium (different validation set, approximate)",1.95,25.64649419429311,4
01-ai/Yi-1.5-34B-32K,Yi-1.5 report,"Medium (different validation set, approximate)",1.95,26.72791290850813,4
01-ai/Yi-1.5-34B-Chat,Yi-1.5 report,"Medium (different validation set, approximate)",1.95,33.35799367075618,4
01-ai/Yi-1.5-34B-Chat-16K,Yi-1.5 report,"Medium (different validation set, approximate)",1.95,29.403554842710225,4
01-ai/Yi-34B-200K,Yi technical report,"Medium (different validation set, approximate)",1.9,20.01347533597433,4
01-ai/Yi-34B-Chat,Yi technical report,"Medium (different validation set, approximate)",1.9,24.226662652803373,4
01-ai/Yi-6B-200K,Yi technical report,"Medium (different validation set, approximate)",2.1,11.99609829883284,4
01-ai/Yi-6B-Chat,Yi technical report,"Medium (different validation set, approximate)",2.1,14.11765000523676,4
EleutherAI/gpt-neox-20b,GPT-NeoX paper,"Medium (different validation set, approximate)",1.9,6.1165221524743325,1
Qwen/Qwen2-0.5B-Instruct,Qwen2 report,"Medium (different validation set, approximate)",2.84,6.586780633287707,3
Qwen/Qwen2-1.5B-Instruct,Qwen2 report,"Medium (different validation set, approximate)",2.63,14.141936815181689,3
Qwen/Qwen2-57B-A14B-Instruct,Qwen2 MoE report,"Medium (different validation set, approximate)",1.9,33.015868823547095,1
Qwen/Qwen2-7B-Instruct,Qwen2 report,"Medium (different validation set, approximate)",2.2,27.93668778218485,3
Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 report,"Medium (different validation set, approximate)",2.81,10.107543850719257,8
Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5 report,"Medium (different validation set, approximate)",2.58,18.430509141644382,8
Qwen/Qwen2.5-14B-Instruct,Qwen2.5 report,"Medium (different validation set, approximate)",2.02,41.30945747711163,8
Qwen/Qwen2.5-14B-Instruct-1M,Qwen2.5 report,"Medium (different validation set, approximate)",2.02,41.559026792386994,8
Qwen/Qwen2.5-32B-Instruct,Qwen2.5 report,"Medium (different validation set, approximate)",1.95,46.59714569921449,8
Qwen/Qwen2.5-72B-Instruct,Qwen2.5 report,"Medium (different validation set, approximate)",1.85,47.98045991216864,8
Qwen/Qwen2.5-7B-Instruct,Qwen2.5 report,"Medium (different validation set, approximate)",2.15,35.200108659947965,8
Qwen/Qwen2.5-7B-Instruct-1M,Qwen2.5 report,"Medium (different validation set, approximate)",2.15,32.76394723937119,8
bigscience/bloom-7b1,BLOOM paper,"Medium (different validation set, approximate)",2.35,3.795510241848182,1
google/gemma-2-27b-it,Gemma2 report,"Medium (different validation set, approximate)",1.95,36.17428251510342,4
google/gemma-2-2b-it,Gemma2 report,"Medium (different validation set, approximate)",2.39,17.046939294966545,4
google/gemma-2-2b-jpn-it,Gemma2 report,"Medium (different validation set, approximate)",2.39,17.11540570593849,4
google/gemma-2-9b-it,Gemma2 report,"Medium (different validation set, approximate)",2.1,32.07276025267082,4
google/gemma-7b-it,Gemma report,"Medium (different validation set, approximate)",2.24,13.067087110466217,1
meta-llama/Meta-Llama-3-70B-Instruct,Llama3 technical report,"Medium (different validation set, approximate)",1.71,36.37222412927012,2
meta-llama/Meta-Llama-3-8B-Instruct,Llama3 technical report,"Medium (different validation set, approximate)",1.76,23.90873569393684,2
microsoft/phi-1,Phi-1.5 paper,"Medium (different validation set, approximate)",2.32,5.574318195377169,1
tiiuae/falcon-40b-instruct,Falcon technical report,"Medium (different validation set, approximate)",2.05,10.484506782098748,2
tiiuae/falcon-7b-instruct,Falcon technical report,"Medium (different validation set, approximate)",2.25,5.1165739086852,2
