Model_C1,Model_C4,match_key,N_B,Parameters,N_ratio,submission,Publication date,Confidence,Domain,Open model weights?,strict_open,type_group,Hugging Face developer id,C4_key_unique,C1_key_unique,developer_id_available,developer_id_matches,source_identity_supported,N_consistent,date_consistent,language_domain,source_confident,weight_agreement,accepted_link,usable_compute,Training compute (FLOP),Training dataset size (total)
Qwen/Qwen2-57B-A14B,Qwen2-57B-A14B,qwen257ba14b,57.409,57000000000.0,1.0071754385964913,2024-06-13,2024-06-07,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,3.7800000000001e+23,
Qwen/Qwen2-7B,Qwen2-7B,qwen27b,7.616,7000000000.0,1.088,2024-06-09,2024-06-07,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,2.9400000000001e+23,7000000000000
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,qwen2515b,1.5,1540000000.0,0.974025974025974,2024-09-19,2024-09-19,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,1.6632e+23,
Qwen/Qwen2.5-14B,Qwen2.5-14B,qwen2514b,14.77,14700000000.0,1.0047619047619047,2024-09-19,2024-09-19,Confident,Language,Yes,True,pretrained,Qwen,True,False,True,True,True,True,True,True,True,True,True,True,1.58760000000001e+24,
Qwen/Qwen2.5-32B,Qwen2.5-32B,qwen2532b,32.764,32500000000.0,1.0081230769230771,2024-09-19,2024-09-17,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,3.51e+24,18000000000000
Qwen/Qwen2.5-7B,Qwen2.5-7B,qwen257b,7.616,7610000000.0,1.0007884362680683,2024-09-19,2024-09-19,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,8.2188e+23,
microsoft/phi-1,Phi-1,phi1,1.418,1300000000.0,1.0907692307692307,2024-06-13,2023-10-02,Confident,Language,Yes,True,pretrained,microsoft,True,True,True,True,True,True,True,True,True,True,True,True,3.3234195e+20,
microsoft/phi-1_5,Phi-1.5,phi15,1.418,1300000000.0,1.0907692307692307,2024-06-09,2023-09-11,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,1.17e+21,30000000000
microsoft/phi-2,Phi-2,phi2,2.78,2700000000.0,1.0296296296296297,2024-06-09,2023-12-12,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,2.27e+22,250000000000
microsoft/phi-4,Phi-4,phi4,14.66,14000000000.0,1.0471428571428572,2025-01-08,2024-12-12,Confident,Language,Yes,True,pretrained,microsoft,True,False,True,True,True,True,True,True,True,True,True,True,9.3202015e+23,
mosaicml/mpt-7b,MPT-7B,mpt7b,7.0,7000000000.0,1.0,2024-06-08,2023-05-05,Confident,Language,Yes,True,pretrained,mosaicml,True,True,True,True,True,True,True,True,True,True,True,True,4.2e+22,
tiiuae/falcon-40b,Falcon-40B,falcon40b,40.0,40000000000.0,1.0,2024-06-09,2023-03-15,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,2.4e+23,1000000000000
tiiuae/falcon-7b,Falcon-7B,falcon7b,7.0,7000000000.0,1.0,2024-06-09,2023-04-24,Confident,Language,Yes,True,pretrained,tiiuae,True,True,True,True,True,True,True,True,True,True,True,True,6.3e+22,1500000000000
togethercomputer/RedPajama-INCITE-7B-Base,RedPajama-INCITE-7B-Base,redpajamaincite7bbase,7.0,6900000000.0,1.0144927536231885,2024-06-12,2023-06-06,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,4.1e+22,1001000000000
