budget_FLOPs,L_ctx,quality_cost,relative_budget_violation,N_inside,D_inside,Q_inside,cost_recalculation_relative_error
2.7825594022071144e+20,2048,power,0.0,True,True,True,0.0
3.5938136638046405e+20,2048,power,2.220446049250313e-16,True,True,True,0.0
4.641588833612792e+20,2048,power,0.0,True,True,True,1.1102230246251565e-16
5.994842503189421e+20,2048,power,0.0,True,True,True,0.0
7.742636826811277e+20,2048,power,0.0,True,True,True,0.0
1e+21,2048,power,0.0,True,True,True,0.0
1.2915496650148828e+21,2048,power,0.0,True,True,True,2.220446049250313e-16
1.6681005372000557e+21,2048,power,0.0,True,True,True,0.0
2.154434690031878e+21,2048,power,2.220446049250313e-16,True,True,True,0.0
2.7825594022071144e+21,2048,power,0.0,True,True,True,0.0
3.59381366380464e+21,2048,power,0.0,True,True,True,1.1102230246251565e-16
4.641588833612792e+21,2048,power,0.0,True,True,True,0.0
5.994842503189421e+21,2048,power,0.0,True,True,True,0.0
7.742636826811278e+21,2048,power,0.0,True,True,True,0.0
1e+22,2048,power,0.0,True,True,True,0.0
1.2915496650148827e+22,2048,power,0.0,True,True,True,0.0
1.6681005372000558e+22,2048,power,0.0,True,True,True,0.0
2.154434690031878e+22,2048,power,0.0,True,True,True,0.0
2.7825594022071145e+22,2048,power,0.0,True,True,True,0.0
3.5938136638046404e+22,2048,power,0.0,True,True,True,0.0
4.641588833612792e+22,2048,power,0.0,True,True,True,0.0
5.994842503189421e+22,2048,power,0.0,True,True,True,0.0
7.742636826811278e+22,2048,power,0.0,True,True,True,0.0
1.0000000000000001e+23,2048,power,0.0,True,True,True,0.0
1.2915496650148827e+23,2048,power,0.0,True,True,True,0.0
1.6681005372000558e+23,2048,power,0.0,True,True,True,0.0
2.1544346900318777e+23,2048,power,0.0,True,True,True,0.0
2.7825594022071144e+23,2048,power,0.0,True,True,True,0.0
3.59381366380464e+23,2048,power,0.0,True,True,True,0.0
4.6415888336127536e+23,2048,power,0.0,True,True,True,0.0
5.9948425031894214e+23,2048,power,0.0,True,True,True,0.0
7.742636826811277e+23,2048,power,0.0,True,True,True,0.0
1e+24,2048,power,0.0,True,True,True,0.0
1e+19,2048,logarithmic,0.0,True,True,True,0.0
1.2915496650148827e+19,2048,logarithmic,0.0,True,True,True,0.0
1.6681005372000557e+19,2048,logarithmic,0.0,True,True,True,0.0
2.1544346900318777e+19,2048,logarithmic,0.0,True,True,True,0.0
2.7825594022071144e+19,2048,logarithmic,0.0,True,True,True,0.0
3.5938136638046405e+19,2048,logarithmic,0.0,True,True,True,0.0
4.641588833612792e+19,2048,logarithmic,0.0,True,True,True,0.0
5.994842503189421e+19,2048,logarithmic,2.220446049250313e-16,True,True,True,0.0
7.742636826811277e+19,2048,logarithmic,0.0,True,True,True,0.0
1e+20,2048,logarithmic,0.0,True,True,True,0.0
1.2915496650148826e+20,2048,logarithmic,0.0,True,True,True,0.0
1.6681005372000557e+20,2048,logarithmic,0.0,True,True,True,0.0
2.1544346900318778e+20,2048,logarithmic,0.0,True,True,True,0.0
2.7825594022071144e+20,2048,logarithmic,0.0,True,True,True,0.0
3.5938136638046405e+20,2048,logarithmic,0.0,True,True,True,0.0
4.641588833612792e+20,2048,logarithmic,0.0,True,True,True,0.0
5.994842503189421e+20,2048,logarithmic,0.0,True,True,True,0.0
7.742636826811277e+20,2048,logarithmic,0.0,True,True,True,2.220446049250313e-16
1e+21,2048,logarithmic,0.0,True,True,True,0.0
1.2915496650148828e+21,2048,logarithmic,0.0,True,True,True,0.0
1.6681005372000557e+21,2048,logarithmic,0.0,True,True,True,0.0
2.154434690031878e+21,2048,logarithmic,2.220446049250313e-16,True,True,True,0.0
2.7825594022071144e+21,2048,logarithmic,0.0,True,True,True,1.1102230246251565e-16
3.59381366380464e+21,2048,logarithmic,0.0,True,True,True,0.0
4.641588833612792e+21,2048,logarithmic,0.0,True,True,True,0.0
5.994842503189421e+21,2048,logarithmic,0.0,True,True,True,0.0
7.742636826811278e+21,2048,logarithmic,0.0,True,True,True,0.0
1e+22,2048,logarithmic,0.0,True,True,True,0.0
1.2915496650148827e+22,2048,logarithmic,0.0,True,True,True,0.0
1.6681005372000558e+22,2048,logarithmic,2.220446049250313e-16,True,True,True,0.0
2.154434690031878e+22,2048,logarithmic,0.0,True,True,True,0.0
2.7825594022071145e+22,2048,logarithmic,0.0,True,True,True,0.0
3.5938136638046404e+22,2048,logarithmic,0.0,True,True,True,0.0
4.641588833612792e+22,2048,logarithmic,0.0,True,True,True,0.0
5.994842503189421e+22,2048,logarithmic,0.0,True,True,True,0.0
7.742636826811278e+22,2048,logarithmic,0.0,True,True,True,0.0
1.0000000000000001e+23,2048,logarithmic,0.0,True,True,True,0.0
1.2915496650148827e+23,2048,logarithmic,0.0,True,True,True,0.0
1.6681005372000558e+23,2048,logarithmic,0.0,True,True,True,0.0
2.1544346900318777e+23,2048,logarithmic,0.0,True,True,True,0.0
2.7825594022071144e+23,2048,logarithmic,0.0,True,True,True,0.0
3.59381366380464e+23,2048,logarithmic,0.0,True,True,True,0.0
4.6415888336127536e+23,2048,logarithmic,0.0,True,True,True,0.0
5.9948425031894214e+23,2048,logarithmic,0.0,True,True,True,0.0
7.742636826811277e+23,2048,logarithmic,0.0,True,True,True,0.0
1e+24,2048,logarithmic,0.0,True,True,True,0.0
1e+19,2048,exponential,0.0,True,True,True,0.0
1e+19,2048,power,0.0,True,True,True,0.0
1e+19,2048,logarithmic,0.0,True,True,True,0.0
1e+19,4096,exponential,0.0,True,True,True,2.220446049250313e-16
1e+19,4096,power,2.220446049250313e-16,True,True,True,0.0
1e+19,4096,logarithmic,0.0,True,True,True,0.0
1e+19,8192,exponential,0.0,True,True,True,0.0
1e+19,8192,power,0.0,True,True,True,0.0
1e+19,8192,logarithmic,0.0,True,True,True,0.0
1e+19,32768,exponential,2.220446049250313e-16,True,True,True,0.0
1e+19,32768,power,0.0,True,True,True,0.0
1e+19,32768,logarithmic,0.0,True,True,True,0.0
1e+21,2048,exponential,0.0,True,True,True,0.0
1e+21,2048,power,0.0,True,True,True,0.0
1e+21,2048,logarithmic,0.0,True,True,True,0.0
1e+21,4096,exponential,2.220446049250313e-16,True,True,True,2.220446049250313e-16
1e+21,4096,power,0.0,True,True,True,0.0
1e+21,4096,logarithmic,0.0,True,True,True,0.0
1e+21,8192,exponential,2.220446049250313e-16,True,True,True,0.0
1e+21,8192,power,0.0,True,True,True,0.0
1e+21,8192,logarithmic,2.220446049250313e-16,True,True,True,2.220446049250313e-16
1e+21,32768,exponential,0.0,True,True,True,0.0
1e+21,32768,power,2.220446049250313e-16,True,True,True,0.0
1e+21,32768,logarithmic,0.0,True,True,True,0.0
1e+21,131072,exponential,2.220446049250313e-16,True,True,True,0.0
1e+21,131072,power,2.220446049250313e-16,True,True,True,0.0
1e+21,131072,logarithmic,0.0,True,True,True,0.0
1e+22,2048,exponential,0.0,True,True,True,0.0
1e+22,2048,power,0.0,True,True,True,0.0
1e+22,2048,logarithmic,0.0,True,True,True,0.0
1e+22,4096,exponential,2.220446049250313e-16,True,True,True,2.220446049250313e-16
1e+22,4096,power,0.0,True,True,True,0.0
1e+22,4096,logarithmic,2.220446049250313e-16,True,True,True,2.220446049250313e-16
1e+22,8192,exponential,2.220446049250313e-16,True,True,True,0.0
1e+22,8192,power,0.0,True,True,True,0.0
1e+22,8192,logarithmic,2.220446049250313e-16,True,True,True,0.0
1e+22,32768,exponential,0.0,True,True,True,0.0
1e+22,32768,power,2.220446049250313e-16,True,True,True,2.220446049250313e-16
1e+22,32768,logarithmic,0.0,True,True,True,0.0
1e+22,131072,exponential,2.220446049250313e-16,True,True,True,0.0
1e+22,131072,power,0.0,True,True,True,0.0
1e+22,131072,logarithmic,0.0,True,True,True,0.0
1e+24,2048,exponential,0.0,True,True,True,0.0
1e+24,2048,power,0.0,True,True,True,0.0
1e+24,2048,logarithmic,0.0,True,True,True,0.0
1e+24,4096,exponential,0.0,True,True,True,0.0
1e+24,4096,power,0.0,True,True,True,0.0
1e+24,4096,logarithmic,0.0,True,True,True,0.0
1e+24,8192,exponential,0.0,True,True,True,0.0
1e+24,8192,power,0.0,True,True,True,3.469446951953614e-18
1e+24,8192,logarithmic,0.0,True,True,True,0.0
1e+24,32768,exponential,0.0,True,True,True,0.0
1e+24,32768,power,0.0,True,True,True,6.938893903907228e-18
1e+24,32768,logarithmic,0.0,True,True,True,6.938893903907228e-18
1e+24,131072,exponential,0.0,True,True,True,0.0
1e+24,131072,power,0.0,True,True,True,0.0
1e+24,131072,logarithmic,0.0,True,True,True,0.0
