split,target,n,mae,rmse,bias,centered_mae,centered_rmse,spearman
test_1m,pubmed_central,256,0.29852892372794115,0.37638939295554297,0.10186470379310503,0.2789261851560154,0.3623431484802564,0.9019691290913251
test_1m,wikipedia_en,256,0.18056259038920824,0.22624473209655327,0.04552977747596915,0.17655783509354273,0.22161615050449254,0.9235394254978254
test_1m,dm_mathematics,256,0.4266844473052896,0.5419558708022348,0.10645059034220153,0.4181695886409669,0.531398567661605,0.868783617532616
test_1m,github,256,0.34415486580512106,0.43672560194308224,0.08435081485273713,0.3366627713078033,0.4285022653688388,0.8846847104600594
test_1m,stackexchange,256,0.256128705505879,0.3323011528510583,0.06458243250932275,0.24916840486670877,0.32596497602859303,0.8836211089494164
test_1m,gutenberg_pg_19,256,0.17050969773927077,0.21282397541829268,0.02996014163941953,0.16642617403436152,0.21070461415401412,0.884575274662394
test_1m,pile_cc,256,0.12210945485587876,0.15642240772748028,0.02614573582400522,0.12003691584337235,0.15422182121049993,0.8866609922178985
test_1m,ubuntu_irc,256,0.3259940343582972,0.40684374396870887,0.09447112971128442,0.3162090511988127,0.3957234358204604,0.8829108491645685
test_1m,hackernews,256,0.12853902653795501,0.1655207374869534,0.025176320616840133,0.12648018805966274,0.16359482699163505,0.8791084916456854
test_1m,pubmed_abstracts,256,0.24107502474765644,0.3027752861296502,0.062098281941634,0.23546145389647444,0.296338787995748,0.8588285362783245
test_1m,uspto_backgrounds,256,0.17165293104307305,0.22018597183786914,0.03072668466829248,0.17166606083288194,0.21803149553099485,0.9130936713206681
test_1m,macro_average,256,0.1802350859199723,0.23194974951806316,0.061775325240420176,0.17274351564776053,0.22357212593016276,0.6658875028610665
test_1m,pooled_domain,256,0.2472026230695986,0.33256036462835376,0.06177532524042011,0.24053894604019277,0.3251789597094383,
test_60m,arxiv,256,1.7008905995750323,1.7541818133933977,1.7008905995750323,0.3358576520734816,0.42909789409578286,0.885231889448386
test_60m,freelaw,256,1.3674780473227273,1.3976347926675583,1.3674780473227273,0.22704445500940096,0.2887677332482094,0.9189459830624855
test_60m,pubmed_central,256,1.7656954097114768,1.802672069705903,1.7656954097114768,0.2988299653609229,0.36324414795228915,0.8933129720759898
test_60m,wikipedia_en,256,1.3978406957475107,1.415031180954042,1.3978406957475107,0.17330540876700445,0.21989686760912547,0.9161278324559395
test_60m,dm_mathematics,256,1.4145193306761934,1.6081674028847501,1.4074866827949064,0.6597259461694829,0.777935494405592,0.8717905985351337
test_60m,github,256,2.5239555004945626,2.567250580460843,2.5239555004945626,0.3603202335206742,0.46949352966763896,0.8798595216296634
test_60m,stackexchange,256,1.687739567720254,1.7193309343541932,1.687739567720254,0.2464861851483916,0.32807623104807926,0.8807421606775004
test_60m,gutenberg_pg_19,256,0.9988199650600632,1.0178656533966912,0.9988199650600632,0.15354504077433662,0.1959825649441472,0.8826211661707484
test_60m,pile_cc,256,1.0910486020832226,1.1031088258261057,1.0910486020832226,0.12486077687570701,0.16267153871435477,0.873387788967727
test_60m,ubuntu_irc,256,2.0209225287023327,2.0672741715119742,2.0209225287023327,0.3510738481729265,0.43530981287341547,0.8772316319523916
test_60m,hackernews,256,1.0015203342034804,1.0139886420307842,1.0015203342034804,0.12454535530812098,0.15852440299330103,0.8699309052414738
test_60m,pubmed_abstracts,256,1.4043616675951298,1.4332806550757433,1.4043616675951298,0.22462535904027478,0.2864642085911924,0.8595895799954222
test_60m,uspto_backgrounds,256,1.4071398800622719,1.421304600144715,1.4071398800622719,0.1570231513514259,0.20016024662970086,0.9069810025177385
test_60m,macro_average,256,1.52114611392869,1.5364108232559037,1.52114611392869,0.16980215106361962,0.2160386953708255,0.6257689116502632
test_60m,pooled_domain,256,1.5216870868426353,1.6182765932988195,1.5211461139286901,0.2644033367363193,0.3703092525751428,
test_1B,arxiv,64,2.521974559108243,2.531891699637613,2.521974559108243,0.16395918022087913,0.22387474601800184,0.5668040293040293
test_1B,freelaw,64,2.783505218250311,2.786765594561356,2.783505218250311,0.10882935553353539,0.13476341864244476,0.8309065934065933
test_1B,pubmed_central,64,2.595666430387995,2.5996314218745575,2.595666430387995,0.11259069739602978,0.14352460330682018,0.6279761904761905
test_1B,wikipedia_en,64,2.981681712392347,2.983614378791139,2.981681712392347,0.08104336750230279,0.10737284253606956,0.906547619047619
test_1B,dm_mathematics,64,2.150101006326765,2.494586933007503,2.150101006326765,1.1699220904058194,1.2649227758738513,0.900091575091575
test_1B,github,64,3.5044627824050285,3.5148404076941455,3.5044627824050285,0.2121671546297813,0.2698957174494491,0.709569597069597
test_1B,stackexchange,64,2.9490475534053715,2.9545321874641064,2.9490475534053715,0.14569962310096024,0.17994158639744734,0.813095238095238
test_1B,gutenberg_pg_19,64,2.4922749888456344,2.496618174450541,2.4922749888456344,0.11153894263275597,0.14719948699382324,0.8557692307692306
test_1B,pile_cc,64,2.5361535855593837,2.5374830562969897,2.5361535855593837,0.06632802101382239,0.08212947977794123,0.6507326007326006
test_1B,ubuntu_irc,64,3.907467689050884,3.9387989853641074,3.907467689050884,0.41874720418149913,0.49581620196265025,0.8313644688644688
test_1B,hackernews,64,2.20448442741061,2.2070624301897124,2.20448442741061,0.08048321140915703,0.10664417498876458,0.6934523809523808
test_1B,pubmed_abstracts,64,2.616033357255331,2.619309420072043,2.616033357255331,0.10207444550720793,0.13096301693816503,0.7000457875457874
test_1B,uspto_backgrounds,64,2.508817266183737,2.512025330976425,2.508817266183737,0.0967908811998697,0.1269140983719969,0.8970238095238096
test_1B,macro_average,64,2.750128505890895,2.7544219241037964,2.750128505890895,0.12593597676149348,0.15373137958781147,0.5265567765567765
test_1B,pooled_domain,64,2.750128505890895,2.819862810938762,2.750128505890895,0.22078262882566316,0.4042599837969218,
est_10b,arxiv,63,3.3528606333462134,3.4385337950048216,3.3528606333462134,0.6024206570414105,0.7627845257656277,0.849078341013825
est_10b,freelaw,63,3.433785493446056,3.4715864277762165,3.433785493446056,0.42383232080243427,0.5109104721176259,0.7722734254992321
est_10b,pubmed_central,63,3.441009265780216,3.49769183238484,3.441009265780216,0.5329353324116239,0.627139049291561,0.7830741167434717
est_10b,wikipedia_en,63,3.8333547549564924,3.852117583594536,3.8333547549564924,0.3154352096336768,0.3797383316056676,0.47867412346073474
est_10b,dm_mathematics,63,2.7345509871981024,2.9225766200620735,2.7345509871981024,0.9457889038227942,1.0313510549504177,0.8852726574500769
est_10b,github,63,3.564537266661628,3.6361396365960053,3.564537266661628,0.6046975094660894,0.7180428478893046,0.7986751152073733
est_10b,stackexchange,63,3.5049908608442633,3.5517933084461886,3.5049908608442633,0.48459471914777413,0.5746953726291092,0.675819362320199
est_10b,gutenberg_pg_19,63,3.5505224527896417,3.569055274279835,3.5505224527896417,0.279181829283663,0.363243531396404,0.49851190476190477
est_10b,pile_cc,63,3.790399762784035,3.800822999083807,3.790399762784035,0.23046110377545764,0.2812918567096419,0.2565284178187404
est_10b,ubuntu_irc,63,4.4686347628658485,4.52775339262206,4.4686347628658485,0.6430137562991793,0.7292833060666145,0.6696908602150538
est_10b,hackernews,63,3.6062306552356067,3.6196722761968623,3.6062306552356067,0.25116528288753887,0.31165341054951,0.162202380952381
est_10b,pubmed_abstracts,63,3.5780577001222458,3.597265491811999,3.5780577001222458,0.3003442576781795,0.3712440075978727,0.49318356374808
est_10b,uspto_backgrounds,63,3.4040520799109073,3.4251854894160982,3.4040520799109073,0.322400542760323,0.3799014005776037,0.5281121365604056
est_10b,macro_average,63,3.558691282764712,3.5758744849997415,3.558691282764712,0.28668863839214204,0.35013524022385073,-0.5931739631336406
est_10b,pooled_domain,63,3.558691282764712,3.624547612388732,3.558691282764712,0.45663626346231884,0.5825751704605493,
est_70b,arxiv,63,3.7162828555684357,3.8084914057340558,3.7162828555684357,0.6554471631185754,0.8329757049027792,0.7994911674347159
est_70b,freelaw,63,3.803879144239707,3.8444180325648687,3.803879144239707,0.46308321523428103,0.5568244473154266,0.711405529953917
est_70b,pubmed_central,63,3.8088092657802157,3.868678929672665,3.8088092657802157,0.5800229168274027,0.6779739211798759,0.6752112135176652
est_70b,wikipedia_en,63,4.246916659718397,4.2657932114585115,4.246916659718397,0.3329667289080532,0.40086233089659634,0.3982334869431644
est_70b,dm_mathematics,63,3.0263367014838165,3.2299846196235604,3.0263367014838165,1.0438859559769893,1.128754540303963,0.8863287250384024
est_70b,github,63,3.946705520629882,4.022598964495612,3.946705520629882,0.653184948512906,0.7777004324229124,0.7164938556067589
est_70b,stackexchange,63,3.8802575275109303,3.9292116636718344,3.8802575275109303,0.5202338725869275,0.6183088371756857,0.5386729391821652
est_70b,gutenberg_pg_19,63,3.9341351512023404,3.9527395560044942,3.9341351512023404,0.29436365230563,0.38305431687522246,0.4236271121351767
est_70b,pile_cc,63,4.199825159609431,4.20965434557618,4.199825159609431,0.2341869305615137,0.2875036311771286,0.2070852534562212
est_70b,ubuntu_irc,63,4.949687143818228,5.01190370376673,4.949687143818228,0.6975555552409785,0.7872584798852288,0.5736916006029548
est_70b,hackernews,63,3.993525893330845,4.00661818373682,3.993525893330845,0.26269659099024645,0.32363592128595753,0.06230798771121352
est_70b,pubmed_abstracts,63,3.964400557265102,3.9837878888901015,3.964400557265102,0.31986670665777134,0.39254829667646746,0.3901209677419355
est_70b,uspto_backgrounds,63,3.7700949370537638,3.791633196977591,3.7700949370537638,0.3461975204076338,0.4035671765940389,0.4579603006383603
est_70b,macro_average,63,3.941604347477777,3.958260861750049,3.941604347477777,0.2975025239611777,0.3627453895041717,-0.6668106758832566
est_70b,pooled_domain,63,3.941604347477777,4.012146830923677,3.941604347477777,0.49259167364068535,0.6297934662531894,
